Actor1,Actor2,collaboration_count
Alice Krige,Ben Lamb,3
Fred Tatasciore,Jeff Gill,3
Ian Ziering,Tara Reid,3
Joey King,Vince Marcello,3
Eric Idle,Graham Chapman,3
Jo Koy,Shannon Hartman,3
Allan Jacobsen,Sydney Park,3
Joe Pesci,Robert De Niro,3
Francesc Orella,Nene,3
Alice Krige,Rose McIver,3
Bracha van Doesburgh,Jan Decleir,3
Graham Chapman,Terry Jones,3
Aya Hirano,Minori Chihara,3
Ashleigh Ball,Ishi Rudell,3
Johnny Yong Bosch,Shannon Chan-Kent,2
Sôichirô Hoshi,Yukari Tamura,2
Abby Trott,Finn Wolfhard,2
Huub Smit,Tim Haars,2
Luis Gatica,R. Ellis Frazier,2
Kerry Shale,Teresa Gallagher,2
Adam McKay,John C. Reilly,2
Elena Kareva,Elena Solovieva,2
Charlotte Brändström,Joel Kinnaman,2
Amber Lee Connors,Morgan Berry,2
Mick Jagger,Ronnie Wood,2
Charlotte Brändström,Ruth Vega Fernandez,2
Antoni Porowski,Bobby Berk,2
Tanta Ginting,Tora Sudiro,2
Ira Wibowo,Pidi Baiq,2
Jacob Derwig,Joram Lürsen,2
Kevin James,Steven Brill,2
Ross Mathews,RuPaul,2
Jeff Goldblum,Steven Spielberg,2
Harvey Keitel,Joe Pesci,2
Ellen Brown,Tim Allen,2
Hideaki Anno,Kotono Mitsuishi,2
Tim Haars,Wesley van Gaalen,2
Chiaki Kon,Stephanie Sheh,2
Jack De Sena,Michaela Jill Murphy,2
Bente Fokkens,Erwin van den Eshof,2
Michelle Visage,Ross Mathews,2
Alexa Kahn,Marin M. Miller,2
Appie Boudellah,Aram van de Rest,2
Fortune Feimster,London Hughes,2
Breanna Yde,Jackie R. Jacobson,2
Griffin Gluck,Sabrina Carpenter,2
Kate Siegel,Mike Flanagan,2
Luna Maya,Rocky Soraya,2
Leon Lai Yi,Yang Yang,2
Anthony Alabi,Talia Jackson,2
Christina Moore,Shaun Paul Piccinino,2
Flip Van der Kuil,Steffen Haars,2
Ji-woo Jung,Kim Go-eun,2
Nobunaga Shimazaki,Troy Baker,2
Ryuichi Yagi,Takashi Yamazaki,2
Alain Hernández,Mario Casas,2
Bombolo,Tomas Milian,2
Jamieson Price,Stephanie Sheh,2
Chinnarat Siriphongchawalit,Vachirawit Chivaaree,2
Bobby Berk,Tan France,2
Jessica Gee-George,Matt Danner,2
Ariel Schulman,Henry Joost,2
Eri Kamataki,Shinnosuke Mitsushima,2
Glen Powell,Zoey Deutch,2
Gary Howsam,John Paul Tremblay,2
