genre,rank,title,rating,votes,year
Short,9,Moving Art: Waterfalls,8.3,96,2015
Short,10,Fuller House Featurette,8.3,24,2016
Sport,1,The Crash Reel,8.2,4890,2013
Sport,2,The Dawn Wall,8.1,19774,2017
Sport,3,Bobby Robson: More Than a Manager,8.1,3107,2018
Sport,4,Rising Phoenix,8.1,1704,2020
Sport,5,The Battered Bastards of Baseball,8.0,4130,2014
Sport,6,We Are Moluccans,7.9,207,2014
Sport,7,Undefeated,7.7,7098,2011
Sport,8,Moneyball,7.6,420330,2011
Sport,9,Athlete A,7.6,11138,2020
Sport,10,CT Fletcher: My Magnificent Obsession,7.6,589,2015
Talk-Show,1,Norm Macdonald Has a Show,8.5,3643,2018
Talk-Show,2,La Tarotista,7.6,23,2021
Talk-Show,3,Tudum,7.6,15,2021
Thriller,1,Vagabond,9.3,187,2019
Thriller,2,The Departed,8.5,1310171,2006
Thriller,3,The Deadly Affair,8.2,17,2022
Thriller,4,Gone Girl,8.1,971322,2014
Thriller,5,Jaws,8.1,600404,1975
Thriller,6,Kahaani,8.1,62937,2012
Thriller,7,Nayattu,8.1,7255,2021
Thriller,8,Designated Survivor: 60 Days,8.1,1326,2019
Thriller,9,Reset,8.1,619,2022
Thriller,10,Kill Bill: Vol. 2,8.0,749653,2004
War,1,Greatest Events of WWII in Colour,8.7,8906,2019
War,2,All Quiet on the Western Front,8.3,199,2022
War,3,Zeitgeist: Addendum,8.2,18368,2008
War,4,Virunga,8.2,11569,2014
War,5,Wolf,8.0,7602,2018
War,6,Nobel,8.0,6489,2016
War,7,Black Book,7.7,77055,2006
War,8,Nanking,7.7,3504,2007
War,9,Welcome to Dongmakgol,7.6,7195,2005
War,10,Nazi Death Squads,7.6,644,2009
Western,1,Winchester '73,7.6,20016,1950
Western,2,The Power of the Dog,6.8,169764,2021
Western,3,Man Without a Star,6.8,3498,1955
Western,4,The Treasure of the Silver Lake,6.8,3263,1962
Western,5,Winnetou: The Last Shot,6.6,2612,1965
Western,6,Destry,6.6,1465,1954
Western,7,The Harder They Fall,6.5,61698,2021
Western,8,Young Guns II,6.5,36404,1990
Western,9,Geronimo: An American Legend,6.5,11903,1993
Western,10,Winnetou: The Red Gentleman,6.5,3253,1964
